producto,fecha,link
Cerveza,16/11/18,https://www.youtube.com/watch?v=_9yO05eQuwY
Sushi,27/02/19,https://www.youtube.com/watch?v=oT9UTAHl1P0
Fuet,26/1/21,https://www.youtube.com/watch?v=8iQTf5XuPZw
Aceite de oliva virgen extra,24/3/21,https://www.youtube.com/watch?v=WQBksSANups
Pan de molde,8/1/2020,https://www.youtube.com/watch?v=KiDhxPJ_cg0
Atún de lata,17/5/21,https://www.youtube.com/watch?v=Tftx3pa0AKU
Mayonesa,18/1/21,https://www.youtube.com/watch?v=pmX_HcJUXWg
Chocolate,28/09/18,https://www.youtube.com/watch?v=_dXw5kBVLN4
Turrón,4/12/2015,https://www.youtube.com/watch?v=UgGVnDwdcQw
Pizza,5/4/2017,https://www.youtube.com/watch?v=Gk5abdMIhrI
Gazpacho,15/7/16,https://www.youtube.com/watch?v=_oibYQSAMho
Helado de chocolate,6/7/2021,https://www.youtube.com/watch?v=lWQLqEZWN_k
Pan,2/11/2015,https://www.youtube.com/watch?v=3MHq3oYdTTw
Ketchup,18/5/21,https://www.youtube.com/watch?v=buS3M9K0UCs
Yogur griego,31/8/21,https://www.youtube.com/watch?v=8qHbpA2YpXY
Tortilla,8/5/2019,https://www.youtube.com/watch?v=PnTV2Km_fQA
Patatas fritas,15/5/17,https://www.youtube.com/watch?v=jEkRbgIYkDo
Yogur,2/3/2016,https://www.youtube.com/watch?v=0gq3b0qk4M4
Caldo envasado,19/1/17,https://www.youtube.com/watch?v=yO1J2EkatgU
Crema de verduras,4/9/2019,https://www.youtube.com/watch?v=A2nTakML97Q
Aceitunas,20/6/21,https://www.youtube.com/watch?v=hgY0u1PEYlE
Hummus,2/11/2017,https://www.youtube.com/watch?v=WlPDOoLCDZw
Jamón York,30/10/16,https://www.youtube.com/watch?v=SFhhbenPxN4
Café (cápsula),8/9/2016,https://www.youtube.com/watch?v=3OuRzrKwWO8
Macarrones,4/3/2020,https://www.youtube.com/watch?v=Pro815umgmo
Leche,5/4/2018,https://www.youtube.com/watch?v=nIB-lTOjs7s
Té (bolsita),11/1/2019,https://www.youtube.com/watch?v=yJa6_SRyuEw&t=16s
Croquetas,6/11/2019,https://www.youtube.com/watch?v=FKYuh9w6514
Panettone,16/12/20,https://www.youtube.com/watch?v=EaBI2O4rSUA
Guacamole,15/7/2020,https://www.youtube.com/watch?v=nOTLCZO_5Rg
Salsa de tomate,27/09/17,https://www.youtube.com/watch?v=CJIhJNFeEtg
Sushi,27/2/19,https://www.youtube.com/watch?v=oT9UTAHl1P0&t=39s
Cerveza sin alcohol,17/7/17,https://www.youtube.com/watch?v=IUTFNR4x-CQ&t=7s
Cava,22/12/16,https://www.youtube.com/watch?v=YoB4OtxsiQI
Agua,8/2/2018,https://www.youtube.com/results?search_query=comidista+agua
Vermut,27/5/20,https://www.youtube.com/watch?v=engFsvwsZMA&t=2s
Salmorejo,15/8/18,https://www.youtube.com/watch?v=gEmaPR6SREo
Café (molido),26/6/19,https://www.youtube.com/watch?v=eKaF73MJj-Q
Mozzarella,19/10/21,https://www.youtube.com/watch?v=ROcVyQTSBA8
Turrón blando,15/12/22,https://www.youtube.com/watch?v=sNKb4Zizioc
